# Dlat (m),Dlon (m),DAlt (m)
-18114.8584,63214.17487,34.57575758
-17933.90409,67610.7475,32.72727273
-17868.18326,53814.31593,30
-17859.5241,5074.521653,41.81818182
-17683.78749,45132.09675,23.06060606
-17563.55834,57224.68636,34.87878788
-17424.7897,13466.85978,40.03030303
-17397.03597,16078.73573,40.93939394
-17369.28224,52502.87498,31.21212121
-17332.20326,38785.1316,54.84848485
-17122.27406,48060.71866,44.87878788
-17073.20547,10779.15545,43.33333333
-17072.87243,50479.0806,25.48484848
-17011.48118,21121.97276,27.87878788
-16765.80518,62214.19357,21.45454545
-16764.25097,41359.48334,30.78787879
-16756.81297,36642.17833,40.84848485
-16755.25876,58188.79001,16.06060606
-16683.98719,64097.16383,24.57575758
-16608.49705,45658.56234,30.3030303
-16595.5083,68614.80188,33.63636364
-16533.22894,34942.23611,40.51515152
-16351.38651,62865.79764,33.36363636
-16233.82172,22562.71193,49.09090909
-16186.97342,56719.19273,52.36363636
-16175.87193,17779.4579,41.84848485
-16089.50233,8691.491908,36.09090909
-16039.87866,58433.95398,24.24242424
-15951.95485,54519.90981,45.48484848
-15918.98342,57502.43487,23.63636364
-15914.3208,70353.56823,43.03030303
-15845.8246,66687.80783,30
-15840.05182,43380.59123,43.93939394
-15722.48703,19600.55221,43.06060606
-15654.32387,55627.69741,47.39393939
-15628.12435,40189.5598,12.72727273
-15302.51761,52714.41449,44.24242424
-15281.31376,32155.56492,42.45454545
-15271.98851,50516.1715,35.81818182
-15257.22353,28894.94471,34.57575758
-15248.23132,64860.47393,37.57575758
-15102.69077,38407.20297,17.57575758
-15021.31684,6848.645693,47.27272727
-14893.31664,58542.19358,30
-14834.36772,75889.29974,31.21212121
-14775.86287,57849.33886,29.12121212
-14745.55579,62563.0041,29.6969697
-14704.25825,35823.05854,30.93939394
-14479.45305,23773.97276,27.93939394
-14477.5658,70634.5232,28.21212121
-14363.22043,67520.44674,28.81818182
-14360.77811,63253.43231,21.51515152
-14325.58638,50371.44763,46.96969697
-14271.30009,71912.513,31.51515152
-14252.42755,60751.18253,20.60606061
-14252.42755,60751.18253,20.60606061
-14247.87594,54412.01686,24.06060606
-14201.58272,19613.29137,36.66666667
-14196.03198,47717.28111,40.03030303
-14082.01966,56099.30658,22.45454545
-14000.75674,61462.84268,32.75757576
-13938.25535,44090.69149,33.63636364
-13896.62476,13303.67711,36.72727273
-13826.68536,26825.21999,31.21212121
-13738.76155,37749.7926,52.45454545
-13653.28007,29249.04156,49.39393939
-13637.96001,69317.36262,30.60606061
-13533.05092,75190.98538,30.03030303
-13370.19204,-1092.188613,23.06060606
-13369.63697,30815.95915,41.81818182
-13320.90142,57997.87582,21.39393939
-13158.70863,65936.5436,35.75757576
-13158.70863,65936.5436,35.75757576
-13141.3903,63812.13579,22.96969697
-13121.40762,35802.34656,62.72727273
-13067.45437,4812.112138,40.33333333
-13004.17587,-7844.727254,23.63636364
-13003.50978,22012.76121,39.6969697
-12941.00839,62767.35074,23.33333333
-12941.00839,62767.35074,23.33333333
-12866.73941,53645.76028,57.3030303
-12835.54422,10792.93455,41.54545455
-12818.89198,45010.51136,27.54545455
-12753.5042,56946.1579,47
-12753.5042,56946.1579,43.96969697
-12749.84071,52402.43488,47.60606061
-12731.63426,70995.55293,34.24242424
-12719.86668,47367.69063,49.72727273
-12581.5421,32258.60485,40.63636364
-12553.34431,43211.34229,40.36363636
-12550.23589,66986.35498,18.63636364
-12434.8914,57822.64727,15.81818182
-12402.58606,25060.45534,46.66666667
-12304.78192,60998.77301,35.78787879
-12253.04897,72977.75004,28.21212121
-12146.91872,38638.06788,36.66666667
-12019.25157,65577.33375,30.63636364
-11913.7874,45621.9914,36.06060606
-11899.91053,-73503.1757,47.57575758
-11879.26176,49830.76964,41.54545455
-11838.51929,54523.7229,42.57575758
-11664.4479,56703.07378,48.51515152
-11624.81558,62483.27598,15.45454545
-11400.67647,51741.90472,79.39393939
-11309.64424,24778.5471,35.15151515
-11272.34323,35455.70255,24.24242424
-11181.08897,66781.6617,22.15151515
-11101.49128,57816.40768,47.90909091
-11098.49388,69078.95821,34.24242424
-11083.95093,63511.68209,44.54545455
-11029.10956,74365.53933,27.60606061
-11004.35323,36351.43067,16.96969697
-11000.68974,27691.83001,35.45454545
-10879.46146,44091.21145,36.36363636
-10862.58719,72302.48751,36.12121212
-10827.06242,-36825.11971,54.54545455
-10825.50821,7667.852149,34.27272727
-10806.74669,64902.59118,22.12121212
-10800.64087,30237.49696,40.63636364
-10773.10917,76089.05335,32.75757576
-10627.23557,68200.3023,30.3030303
-10467.81816,51889.74839,27.57575758
-10375.34274,13199.68391,39.09090909
-10365.46241,58191.21652,56.09090909
-10318.61412,33750.38735,18.48484848
-10106.68665,64934.39577,12.21212121
-10095.58516,57579.30318,38.18181818
-10066.94331,49767.5071,36.96969697
-10044.07424,18369.53267,46.66666667
-10030.86346,42359.89795,47.60606061
-10027.422,53282.04405,22.42424242
-9999.113197,22995.49697,33.33333333
-9964.254515,31440.17835,15.78787879
-9932.171205,56229.99137,18.78787879
-9849.57611,35653.8096,16.6969697
-9820.268173,66758.60987,48.78787879
-9628.989478,37500.90221,37
-9628.989478,58002.98882,56.09090909
-9613.89145,54788.99222,31.84848485
-9613.89145,54788.99222,31.84848485
-9552.611218,33289.6108,19.09090909
-9448.368215,70088.03892,31.24242424
-9413.176487,56992.17489,25.48484848
-9276.51713,50422.23098,30.63636364
-9213.682689,30777.395,44.87878788
-9198.584661,71545.41699,28.18181818
-9147.961861,43220.52836,34.18181818
-9073.914914,56029.02451,47.60606061
-9044.384947,45385.58018,40.3030303
-9030.508083,27140.05941,28.48484848
-9023.070084,63395.64301,16.09090909
-9012.079607,-9449.689018,90.87878788
-8996.870564,49089.12478,23.48484848
-8981.328477,38913.21656,41.48484848
-8944.471526,58338.02025,11.36363636
-8828.460942,58033.49349,14.84848485
-8777.949156,47601.67533,21.81818182
-8665.935109,75037.33542,37.90909091
-8586.115387,64102.88345,18.78787879
-8518.84035,53381.53089,38.18181818
-8488.977338,42372.8971,31.51515152
-8455.006775,55133.0364,16.90909091
-8365.972815,61019.83163,30.15151515
-8290.704704,68217.37452,19.09090909
-8263.839095,49489.23863,37.87878788
-8198.451311,22028.96681,28.48484848
-8126.624663,62235.33885,38.21212121
-8120.518843,24157.96766,26.66666667
-8103.200516,52874.73734,40.93939394
-8091.432935,15752.54372,37.66666667
-8069.007923,63273.10435,26.12121212
-8025.379062,35759.44936,29.39393939
-7855.526246,27046.46553,34.84848485
-7820.112489,57332.5793,12.12121212
-7746.731631,60574.1341,29.42424242
-7739.293632,39119.72973,34.54545455
-7652.92403,47512.15452,40.60606061
-7605.187617,7325.541189,40.33333333
-7553.343653,52851.9455,65.18181818
-7494.505749,55022.02366,22.12121212
-7459.647067,61262.82908,31.96969697
-7429.117966,51821.63284,35.78787879
-7403.806565,36998.00841,15.78787879
-7401.031193,50394.06615,25.45454545
-7357.513347,59806.49094,38.27272727
-7357.513347,59806.49094,38.27272727
-7334.75529,30290.18684,41.09090909
-7292.680638,42777.60398,30.90909091
-7252.04918,77387.58181,38.78787879
-7232.62157,62840.31931,17.27272727
-7175.115845,68140.15957,22.78787879
-7175.115845,68140.15957,22.78787879
-7103.400211,66583.12134,14.54545455
-7058.106127,53645.06699,24.84848485
-7057.218008,75495.25216,35.87878788
-7050.113053,59905.37114,6.393939394
-7038.567502,60362.07462,30.33333333
-7007.705357,48764.14602,29.18181818
-6913.453696,61108.5725,37.90909091
-6913.453696,61108.5725,37.72727273
-6913.453696,61108.5725,37.72727273
-6891.028683,18027.65501,50.3030303
-6890.362594,47067.06361,30.33333333
-6873.044267,62297.73477,22.15151515
-6853.616658,44979.48673,37.57575758
-6835.188182,22927.38142,34.54545455
-6828.638302,61444.38388,36.66666667
-6798.775291,41573.44935,27
-6709.075241,60730.38388,23.03030303
-6676.991931,70580.62006,29.45454545
-6663.448112,55349.94889,9.121212121
-6588.513046,68348.57928,23.72727273
-6544.662155,39578.07977,31.18181818
-6487.60049,64845.30826,27.87878788
-6487.60049,64845.30826,42.90909091
-6480.495536,56036.73734,35.78787879
-6470.948253,54917.07719,59.42424242
-6333.733821,62108.03384,19.09090909
-6333.733821,62108.03384,19.09090909
-6295.544691,59565.48669,27.54545455
-6295.544691,59565.48669,27.57575758
-6267.790963,62769.43061,27.48484848
-6197.518523,58531.10097,22.45454545
-6197.518523,58531.10097,22.27272727
-6197.518523,58531.10097,22.27272727
-6197.518523,58531.10097,22.27272727
-6197.518523,58531.10097,22.27272727
-6175.204525,61108.5725,31.51515152
-6175.204525,61108.5725,32.57575758
-6175.204525,61108.5725,32.57575758
-6100.047429,55726.40429,48.48484848
-6047.315346,-17361.83853,32.72727273
-6014.232902,60348.64217,50.60606061
-5997.580665,66356.58948,31.24242424
-5953.1747,26470.86315,31.51515152
-5880.126887,50638.97014,31.51515152
-5836.053967,54175.60565,23.33333333
-5781.767674,61534.85797,37.03030303
-5725.039054,58687.09077,32.72727273
-5663.314762,60528.63707,26.96969697
-5643.554108,72657.53764,17.57575758
-5620.129961,38888.86482,25.45454545
-5620.129961,44570.18681,51.21212121
-5620.129961,58725.13495,43.42424242
-5611.803843,52471.76368,37.57575758
-5585.937368,58121.0211,30.3030303
-5578.277339,78908.22241,34.24242424
-5577.61125,68059.13153,24
-5518.995376,60837.2369,35.48484848
-5496.237319,62881.74327,27.09090909
-5496.237319,62881.74327,27.09090909
-5465.930247,59888.29892,42.57575758
-5451.165264,56009.00582,40.90909091
-5376.452228,59299.00411,40.6969697
-5376.452228,59299.00411,40.6969697
-5250.783346,61373.2352,19.12121212
-5248.007974,60517.54446,32.75757576
-5191.834428,58675.56486,45.3030303
-5191.834428,58675.56486,45.3030303
-5177.291474,59067.87922,47.90909091
-5161.638371,61112.64557,28.12121212
-5161.638371,61112.64557,28.12121212
-5148.649627,74720.58946,35.48484848
-5126.668674,22952.42645,21.78787879
-5121.784018,-68443.90638,43.36363636
-5079.931396,62155.17742,33.93939394
-5079.931396,62155.17742,33.93939394
-5078.710231,42923.71443,29.6969697
-5048.736205,57986.60989,32.75757576
-5048.736205,57986.60989,32.75757576
-5033.971222,59972.53342,44.24242424
-5033.971222,59972.53342,44.24242424
-5020.094358,25377.46128,25.18181818
-4984.90263,59397.19102,46.54545455
-4979.684929,-20904.28032,19.6969697
-4963.032692,58915.78916,46.24242424
-4910.855683,51431.05171,25.15151515
-4879.993538,57810.42807,34.87878788
-4858.456644,56764.68976,16.09090909
-4849.242407,69486.00493,40.3030303
-4783.521578,15289.16734,49.6969697
-4754.879731,34270.52668,40.03030303
-4735.119076,67672.62346,10.93939394
-4729.901375,59669.99986,31.60606061
-4728.680211,-34774.02711,48.81818182
-4721.242212,58159.15194,32.72727273
-4663.847502,4198.292259,45.75757576
-4628.433745,76620.63194,20.3030303
-4582.140526,60311.03129,19.09090909
-4533.071935,43660.93957,38.33333333
-4516.752743,63073.35074,25.48484848
-4516.752743,63073.35074,25.48484848
-4511.535042,-41978.32955,31.21212121
-4511.535042,59062.59289,34.24242424
-4485.335522,58604.76282,46.66666667
-4454.473377,40239.5632,13.36363636
-4448.034512,71757.73645,41.6969697
-4407.292039,27398.13587,34.27272727
-4386.643265,61792.15449,27.57575758
-4292.280589,55794.08653,29.39393939
-4269.522532,57826.28703,22.87878788
-4195.14254,42997.80958,33.93939394
-4192.700212,8218.582818,50
-4044.384289,59879.11286,19.06060606
-3972.77967,45725.03133,31.24242424
-3952.796986,59159.65322,29.6969697
-3834.677118,42554.19191,31.24242424
-3754.524351,57596.63538,17.06060606
-3689.691642,54365.82655,15.75757576
-3615.75571,74902.31758,32.12121212
-3614.201502,58614.64217,25.15151515
-3587.668937,63174.91744,31.24242424
-3560.248254,59849.82144,17.45454545
-3545.150226,41770.08316,31.51515152
-3505.073842,43730.09505,50.3030303
-3455.339161,60553.76876,31.84848485
-3392.171676,56329.21822,23.09090909
-3338.218428,65157.80783,12.75757576
-3276.494137,49190.51815,21.81818182
-3263.838437,55378.11372,14.12121212
-3252.514916,62136.45865,20.36363636
-3251.848826,20087.32706,43.63636364
-3182.79755,44498.25818,24.87878788
-3099.203321,68409.93527,20.33333333
-2960.767725,59312.52323,22.72727273
-2937.343578,42644.40602,52.42424242
-2895.379941,58707.10946,13
-2844.757141,-41177.66855,50.03030303
-2734.741362,46294.82742,37.27272727
-2708.208798,60444.40258,21.51515152
-2627.389942,51779.9489,30.33333333
-2572.21553,53544.97354,17.3030303
-2554.897204,57811.55466,26.09090909
-2471.969064,72950.01852,28.78787879
-2458.0922,26187.74165,29.12121212
-2401.696624,44927.75011,28.03030303
-2382.269014,17429.43411,40.24242424
-2355.403405,64067.0058,29.6969697
-2335.642751,43676.19191,40.60606061
-2289.682577,59543.64812,37.03030303
-2283.243712,55450.73564,36.6969697
-2215.4136,25222.25143,25.15151515
-2197.207154,41031.47144,27.93939394
-2175.892291,61457.46969,22.66666667
-2152.1351,68932.32779,35.15151515
-2119.163671,71547.32354,30.93939394
-1874.930863,36200.4672,44.57575758
-1824.197047,42426.10695,27.87878788
-1796.332304,41922.95317,26.3030303
-1784.342694,59012.06953,20.03030303
-1706.29921,62695.42211,21.18181818
-1677.213303,32740.00672,32.45454545
-1673.549811,76427.81121,38.51515152
-1673.327781,44294.60482,31.09090909
-1611.936534,56116.63878,26.66666667
-1598.947789,66224.17147,44.87878788
-1395.457454,52923.61415,29.72727273
-1390.461783,54378.30573,37
-1349.49728,25718.81897,30.63636364
-1333.844177,39394.53177,44.33333333
-1328.515462,14238.40269,41.75757576
-1321.077463,-35930.60484,60.3030303
-1282.888332,60172.37369,25.15151515
-1257.576932,74370.56567,37.33333333
-1241.25774,46881.26242,37.57575758
-1206.399058,57319.75348,33.33333333
-1059.304298,59134.43487,20.63636364
-969.8262784,55318.83759,23.93939394
-865.3612454,61835.05168,10.75757576
-852.7055453,68230.11369,23.63636364
-831.3906821,29043.04836,54.84848485
-586.6027993,63145.79934,29.09090909
-428.0735038,54137.64813,24
-422.8558029,49266.77983,30.90909091
-338.0404095,32914.80196,30.93939394
-336.8192455,56819.54617,31.96969697
-177.0687859,34918.40434,38.21212121
-154.1997139,70066.11368,31.09090909
-131.108612,77382.12216,40.60606061
-34.85868262,64779.61922,37.27272727
107.9064953,47913.65494,32.75757576
119.3410313,51999.2879,21.12121212
146.42867,31570.60315,65.45454545
174.0713833,25859.98974,21.51515152
213.3706624,53504.06954,26.6969697
352.1393034,14613.90481,50.33333333
436.2886074,72421.12642,31.24242424
445.61386,19188.91244,35.45454545
458.1585452,56381.21482,36.96969697
490.5748997,8335.141867,42.45454545
491.463019,59013.54277,30.63636364
539.6434912,67234.03213,18.48484848
583.0503221,45587.06701,30.36363636
696.8406077,12035.73999,43.33333333
720.0427245,62025.96587,37.21212121
732.3653798,33288.22422,53.96969697
802.3047749,31628.66603,43.06060606
821.7323847,58001.08228,39.42424242
821.7323847,58001.08228,39.42424242
900.7750026,27872.0849,37.87878788
949.1775046,-26381.08235,46.42424242
987.3666346,31176.98888,61.54545455
1063.18982,55072.20038,22.45454545
1085.725847,63630.58099,27
1097.826473,49323.36947,37.27272727
1225.493623,74348.64044,31.24242424
1225.715652,56125.56486,28.48484848
1330.2917,25636.751,41.81818182
1393.459186,28823.01608,24.39393939
1490.930279,60071.2403,43.93939394
1562.756928,76449.21647,46.66666667
1565.310271,64731.95567,37.27272727
1606.385788,30455.96934,37.57575758
1616.377131,46170.38222,30.63636364
1617.70931,54796.01177,51.21212121
1617.70931,54796.01177,51.21212121
1655.67641,70819.6311,46.06060606
1675.881124,53284.29724,39.09090909
1761.695651,68011.81462,27.57575758
1811.985407,59298.74413,29.72727273
1915.007246,-62603.64811,83.96969697
2069.42899,72513.59371,34.24242424
2076.866989,62309.95397,26.6969697
2304.89162,66464.65575,44.57575758
2304.89162,32630.12057,31.24242424
2335.642751,-2420.268473,40.03030303
2340.527407,69511.30995,26.39393939
2503.608314,57538.65917,14.27272727
2679.455936,60055.64132,21.84848485
2707.542709,63234.1069,38.21212121
2789.804759,76199.3728,46.66666667
2792.025057,36648.50459,24.27272727
2816.670368,34572.19363,23.93939394
2883.279316,61445.77046,38.96969697
2955.772054,-41748.24459,56.96969697
3126.624005,-9678.820708,22.15151515
3170.030835,53774.62519,12.12121212
3206.776772,73124.12047,30.33333333
3260.952049,48518.37542,34.84848485
3294.922612,54410.80361,31.21212121
3355.980814,31002.54028,39.39393939
3359.755321,26554.14437,43.06060606
3417.372061,67554.41785,23.96969697
3475.321846,52517.52069,37.90909091
3531.939451,29152.50121,34.24242424
3540.376585,13698.67796,52.45454545
3541.375719,47184.74925,41.54545455
3574.902222,55526.56402,17.27272727
3660.050661,54079.32528,23.63636364
3785.164467,40140.85632,38.51515152
3924.044123,66377.56144,23.33333333
3927.152541,61684.08822,45.48484848
3966.00776,54320.06954,44.45454545
3966.00776,54320.06954,44.45454545
4136.526666,63633.96077,11.51515152
4179.711467,59889.77216,41.09090909
4179.711467,59889.77216,41.09090909
4287.617963,53975.15875,17.87878788
4296.499156,23571.35933,45.48484848
4428.828932,48375.64475,39.09090909
4440.263468,67441.75855,25.18181818
4463.5766,34146.77477,31.54545455
4528.520324,66885.91488,27.90909091
4605.231628,72744.71861,50
4605.564673,53884.598,37.3030303
4677.724366,66831.23179,27.90909091
4687.604694,66997.27427,21.84848485
4698.040095,60095.33206,40
4751.105224,77238.35156,36.09090909
4760.652506,68196.40256,23.09090909
4773.641251,75573.24706,30
4816.493007,55604.3856,45.15151515
4952.486276,59620.34311,31.6969697
4952.81932,16707.28798,44.84848485
5013.877522,69185.11793,36.06060606
5045.849817,58419.9149,30.3030303
5139.324374,44711.27092,40.60606061
5143.320911,59163.20632,33.03030303
5280.424328,41723.45955,38.81818182
5308.622116,70522.12388,15.48484848
5314.838951,59782.39918,49.39393939
5419.303984,27782.82406,32.72727273
5542.419522,74203.22328,27
5565.177579,20837.63801,30.3030303
5581.829816,37069.24375,37
5619.130827,68262.43824,19.12121212
5651.547182,60172.807,38.78787879
5651.547182,60172.807,38.78787879
5675.859448,71981.8418,34.54545455
5684.851655,57423.31337,65.45454545
5723.040785,62984.26323,35.15151515
5879.127753,64840.02194,25.6969697
5975.599712,51324.54533,33.33333333
5984.59192,31786.99568,35.78787879
6144.34238,61178.33461,46.36363636
6240.259264,52915.90132,29.6969697
6331.513523,-38309.44936,47.27272727
6537.113141,55856.65577,32.12121212
6624.481878,-19717.97786,22.72727273
6671.77423,16156.55731,50.63636364
6733.276492,58701.73648,34.51515152
6863.496985,-52847.09248,66.6969697
6945.759035,19371.59384,31.21212121
7159.240713,68540.18675,18.93939394
7244.944225,53293.39665,30
7337.086603,52173.30319,20.03030303
7361.842928,-49049.43404,56.66666667
7380.271404,49354.39411,42.72727273
7416.351251,61229.37794,28.45454545
7485.735571,66566.22244,16.09090909
7499.057361,30118.33808,32.15151515
7575.546636,63224.92084,33.33333333
7590.311619,64703.79084,53.06060606
7597.416573,26525.97955,36.06060606
7643.598777,25113.14523,37.57575758
7809.233027,44247.63456,15.75757576
7961.545487,68724.34138,15.45454545
8030.374733,70428.78998,45.78787879
8194.787819,50419.97779,38.81818182
8454.007641,28586.86484,13.36363636
8521.615723,53065.65153,61.21212121
8651.392156,22781.8776,37.57575758
8751.638622,18395.96427,39.6969697
8971.22612,45516.52496,40.03030303
9041.165515,58191.9098,19.09090909
9043.385813,55889.15365,23.06060606
9071.472586,-22482.72382,28.51515152
9188.038244,49542.44848,36.45454545
9192.256811,33267.94555,13.78787879
9520.749938,67511.78064,41.51515152
9746.7763,60426.81039,28.48484848
9847.577841,26515.32024,23.36363636
9962.922336,16889.27609,47.57575758
10046.84961,52958.53853,18.78787879
10100.80286,62876.63027,53.33333333
10124.33802,48095.03642,43.33333333
10142.43345,56761.4833,33.63636364
10159.41873,31327.51904,30.33333333
10187.17246,57591.78236,41.54545455
10199.27309,40405.86567,33.96969697
10207.15514,70759.66169,31.24242424
10270.1006,10851.86404,47.27272727
10576.61277,20208.39248,44.12121212
10657.09859,75250.60815,43.36363636
10896.33572,52680.96334,72.12121212
11008.90484,51601.34058,33.63636364
11066.29955,29211.51735,25.18181818
11204.73515,65535.73646,38.78787879
11564.31245,55810.89876,14.57575758
11597.94997,59875.55976,44.84848485
11628.81212,71815.53934,31.81818182
11746.93198,53012.70166,31.51515152
11826.41866,46394.48757,37.57575758
12007.48399,-1759.478331,30
12107.06436,65348.63536,21.81818182
12107.95248,49038.8614,42.60606061
12239.94921,44894.47228,38.24242424
12258.82175,51949.89113,28.78787879
12258.82175,51949.89113,28.78787879
12279.47052,69372.65234,45.15151515
12295.78971,47266.6439,40.57575758
12326.31881,13626.74933,37.87878788
